ZAT,codigo_upz,nombre_upz,codigo_localidad,nombre_localidad,accesibilidad_arterial
731.0,56,DANUBIO,05,USME,2.0
704.0,56,DANUBIO,05,USME,1.0
703.0,56,DANUBIO,05,USME,1.0
649.0,50,LA GLORIA,04,SAN CRISTOBAL,4.0
688.0,50,LA GLORIA,04,SAN CRISTOBAL,2.0
689.0,51,LOS LIBERTADORES,04,SAN CRISTOBAL,3.0
318.0,114,MODELIA,09,FONTIBON,5.0
652.0,54,MARRUECOS,18,RAFAEL URIBE URIBE,0.0
651.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE,2.0
650.0,50,LA GLORIA,04,SAN CRISTOBAL,2.0
644.0,50,LA GLORIA,04,SAN CRISTOBAL,4.0
687.0,50,LA GLORIA,04,SAN CRISTOBAL,2.0
642.0,34,20 DE JULIO,04,SAN CRISTOBAL,3.0
643.0,32,SAN BLAS,04,SAN CRISTOBAL,5.0
681.0,55,DIANA TURBAY,18,RAFAEL URIBE URIBE,3.0
705.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR,1.0
706.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR,3.0
729.0,68,EL TESORO,19,CIUDAD BOLIVAR,1.0
639.0,34,20 DE JULIO,04,SAN CRISTOBAL,4.0
970.0,34,20 DE JULIO,04,SAN CRISTOBAL,3.0
971.0,34,20 DE JULIO,04,SAN CRISTOBAL,0.0
594.0,34,20 DE JULIO,04,SAN CRISTOBAL,1.0
606.0,34,20 DE JULIO,04,SAN CRISTOBAL,1.0
595.0,34,20 DE JULIO,04,SAN CRISTOBAL,5.0
723.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0
725.0,68,EL TESORO,19,CIUDAD BOLIVAR,2.0
726.0,68,EL TESORO,19,CIUDAD BOLIVAR,1.0
722.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0
720.0,67,LUCERO,19,CIUDAD BOLIVAR,0.0
719.0,67,LUCERO,19,CIUDAD BOLIVAR,0.0
724.0,68,EL TESORO,19,CIUDAD BOLIVAR,0.0
727.0,68,EL TESORO,19,CIUDAD BOLIVAR,4.0
716.0,67,LUCERO,19,CIUDAD BOLIVAR,1.0
715.0,67,LUCERO,19,CIUDAD BOLIVAR,4.0
707.0,63,EL MOCHUELO,19,CIUDAD BOLIVAR,1.0
717.0,67,LUCERO,19,CIUDAD BOLIVAR,2.0
718.0,67,LUCERO,19,CIUDAD BOLIVAR,3.0
728.0,68,EL TESORO,19,CIUDAD BOLIVAR,5.0
748.0,52,LA FLORA,05,USME,3.0
