codigo_upz,AÑO,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,genero_-,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
19.0,2018,1617,6,54,72,26,0,795,980,96752,44278,52474,183.4587398710104,167.1283280965768,0.6201422192822887,5.581279973540599,7.441706631387464,2.6872829502232514,221.32887664302814,151.50360178374052
19.0,2019,367,8,19,50,7,0,206,245,100927,46205,54722,44.68576297720134,36.36291577080464,0.792652114894924,1.8825487728754444,4.954075718093275,0.6935706005330585,53.02456444107781,37.644822923138776
19.0,2020,56,2,27,44,11,1,52,87,100375,46114,54261,13.947696139476962,5.579078455790785,0.199252801992528,2.6899128268991284,4.383561643835616,1.095890410958904,18.866287895216203,9.583310296529737
19.0,2021,83,2,32,54,22,0,69,124,99865,46097,53768,19.32609022179943,8.311220147198718,0.2002703649927402,3.2043258398838432,5.407299854803986,2.202974014920142,26.899798251513115,12.832911769081981
19.0,2022,66,6,0,42,21,0,40,95,98532,45765,52767,13.70113262696383,6.69833150651565,0.608939227865059,0.0,4.262574595055414,2.131287297527707,20.75822134819185,7.5804953853734345
19.0,2023,0,2,0,33,13,0,4,44,96729,45092,51637,4.96231740222684,0.0,0.206763225092785,0.0,3.4115932140309524,1.3439609631031024,9.757828439634526,0.7746383407246741
20.0,2015,202,1,21,4,4,0,96,136,40161,18050,22111,57.76748586937577,50.29755235178406,0.2489977839197231,5.228953462314186,0.9959911356788924,0.9959911356788924,75.34626038781163,43.41730360454072
20.0,2016,286,1,4,1,10,0,126,176,39891,17936,21955,75.70629966659146,71.69536988293099,0.2506831114787797,1.0027324459151188,0.2506831114787797,2.5068311147877966,98.12667261373774,57.39011614666364
20.0,2017,676,0,11,9,14,0,283,427,39630,17827,21803,179.1572041382791,170.57784506686855,0.0,2.7756749936916476,2.2710068130204393,3.5326772646984606,239.52431704717563,129.7986515617117
20.0,2018,1040,0,12,18,18,0,462,626,39506,17788,21718,275.40120488027134,263.2511517237888,0.0,3.03751328912064,4.55626993368096,4.55626993368096,351.9226444794243,212.72677042084905
20.0,2019,244,2,11,5,6,0,113,155,41140,18539,22601,65.14341273699563,59.309674282936314,0.4861448711716091,2.6737967914438503,1.215362177929023,1.4584346135148276,83.60753007174065,49.997787708508476
