codigo_localidad,AÑO,semester,theft_to_people,homicide,sexual,theft_to_vehicle,theft_to_motorbike,dia_Domingo,dia_Jueves,dia_Lunes,dia_Martes,dia_Miércoles,dia_Sábado,dia_Viernes,genero_FEMENINO,genero_MASCULINO,TOTAL_POBLACION,Hombre,Mujer,crime_index,theft_to_people_index,homicide_index,sexual_index,theft_to_vehicle_index,theft_to_motorbike_index,male_index,female_index
11.0,2018,2,5531,41,268,184,159,597,953,789,941,963,840,1100,2674,3505,1149040,540726,608314,53.810137157975355,48.135835131936226,0.35681960593190837,2.3323818143841817,1.601336768084662,1.3837638376383763,64.8202601687361,43.957561390992154
11.0,2019,1,1897,6,59,47,52,199,382,258,325,321,269,307,922,1139,1189086,559950,629136,17.332640364111594,15.953429777156572,0.05045892391298863,0.4961794184777215,0.3952615706517443,0.4373106739125681,20.341101884096794,14.655018946618855
12.0,2015,1,631,3,69,34,56,68,132,112,130,112,103,136,303,490,138250,66465,71785,57.35985533453888,45.64195298372513,0.21699819168173598,4.990958408679928,2.4593128390596743,4.050632911392405,73.7230121116377,42.209375217663855
12.0,2015,2,627,7,53,18,36,59,131,100,134,118,82,117,293,448,138250,66465,71785,53.59855334538879,45.352622061482826,0.5063291139240507,3.833634719710669,1.301989150090416,2.603978300180832,67.40389678778304,40.81632653061225
12.0,2016,1,870,7,48,30,48,88,161,127,166,180,123,158,337,666,135739,65218,70521,73.89180707092287,64.09359137757019,0.515695562808036,3.5361981449693896,2.2101238406058688,3.5361981449693896,102.11904688889571,47.78718395938799
12.0,2016,2,812,4,31,31,43,63,163,129,142,142,122,160,360,561,135739,65218,70521,67.85080190660017,59.820685285732175,0.29468317874744915,2.2837946352927307,2.2837946352927307,3.1678441715350782,86.0191971541599,51.048623814183
12.0,2017,1,1353,7,60,42,42,111,240,177,271,252,215,238,567,937,133890,64274,69616,112.33101799985063,101.0531032937486,0.5228172380312197,4.481290611696169,3.136903428187318,3.136903428187318,145.78212029747644,81.44679384049643
12.0,2017,2,2097,5,97,41,42,184,397,292,373,351,306,379,934,1348,133890,64274,69616,170.4384195981776,156.6211068787811,0.37344088430801403,7.244753155575473,3.062215251325715,3.136903428187318,209.72710582817314,134.16455987129396
12.0,2018,1,2087,5,51,45,29,136,361,291,364,387,257,421,932,1285,133126,62070,71056,166.53396030827938,156.76877544581825,0.37558403317158184,3.8309571383501346,3.3802562985442366,2.1783873923951744,207.02432737232158,131.16415221796893
12.0,2018,2,2461,7,49,57,32,194,407,354,391,432,363,465,1079,1527,133126,62070,71056,195.75439808902843,184.86246112705257,0.5258176464402146,3.680723525081502,4.281657978156033,2.4037378122981234,246.01256645722572,151.85206034676875
12.0,2019,1,804,0,9,17,12,49,168,119,150,147,85,124,367,475,138316,65700,72616,60.87509760259117,58.127765406749766,0.0,0.6506839411203331,1.2290696665606293,0.8675785881604443,72.29832572298325,50.53982593367852
13.0,2015,1,930,6,53,22,46,79,159,154,176,179,133,177,417,640,142245,64108,78137,74.30841154346373,65.38015395971739,0.4218074449014025,3.725965763295722,1.5466272979718092,3.233857077577419,99.83153428589256,53.36780270550443
13.0,2015,2,878,3,40,48,48,85,181,152,144,184,119,152,433,584,142245,64108,78137,71.49636191078773,61.72448943723857,0.21090372245070124,2.8120496326760165,3.37445955921122,3.37445955921122,91.09627503587696,55.4154881810154
13.0,2016,1,1246,6,58,36,51,117,240,196,199,213,186,246,528,868,142633,64028,78605,97.94367362391593,87.35706323221133,0.42066001556442056,4.066380150456065,2.5239600933865236,3.5756101322975753,135.56569001062036,67.17129953565295
13.0,2016,2,1109,3,48,46,32,152,198,121,174,203,161,229,503,735,142633,64028,78605,86.79618321145877,77.75199287682373,0.21033000778221028,3.3652801245153645,3.2250601193272246,2.2435200830102433,114.79352783157368,63.99084027733605
13.0,2017,1,1942,2,75,54,50,190,316,259,353,349,271,385,875,1248,143211,64045,79166,148.24280257801428,135.60410862294097,0.1396540768516385,5.237027881936444,3.7706600749942396,3.4913519212909625,194.86298696229213,110.52724654523406
13.0,2017,2,3230,6,160,50,37,327,605,413,531,531,481,595,1566,1917,143211,64045,79166,243.20757483712842,225.54133411539615,0.41896223055491544,11.172326148131079,3.4913519212909625,2.583600421755312,299.3207900694824,197.8121921026703
13.0,2018,1,3341,2,60,47,21,290,578,410,583,532,405,673,1570,1901,144526,67745,76781,240.16439948521372,231.1694781561795,0.13838340506206495,4.151502151861949,3.2520100189585266,1.4530257531516821,280.6111152114547,204.47767025696461
