LONGITUD,LATITUD,codigo_localidad,nombre_localidad,codigo_upz,nombre_upz,FECHA_HECHO,HORA_HECHO,GENERO,AÑO,theft_to_motorcycles
-74.13679999999994,4.597609999849056,08,KENNEDY,45,CARVAJAL,2022-03-09,00:00:00,FEMENINO,2022,1
-74.09959999999995,4.586579999849402,15,ANTONIO NARIÑO,38,RESTREPO,2022-02-07,00:00:00,MASCULINO,2022,1
-74.09299999999996,4.548399999850696,04,SAN CRISTÓBAL,50,LA GLORIA,2022-04-01,00:00:00,MASCULINO,2022,1
-74.16549999999995,4.5706199998499795,19,CIUDAD BOLÍVAR,70,JERUSALEM,2022-12-24,00:00:00,MASCULINO,2022,1
-74.10519999999997,4.714479999845258,10,ENGATIVÁ,29,MINUTO DE DIOS,2022-03-08,00:00:00,FEMENINO,2022,1
-74.08669999999995,4.733519999844657,11,SUBA,28,EL RINCON,2022-01-24,00:00:00,MASCULINO,2022,1
-74.14219999999995,4.579599999849634,06,TUNJUELITO,42,VENECIA,2022-01-05,00:00:00,MASCULINO,2022,1
-74.15239999999994,4.578849999849681,19,CIUDAD BOLÍVAR,65,ARBORIZADORA,2022-09-02,00:00:00,MASCULINO,2022,1
-74.14399999999995,4.601909999848909,08,KENNEDY,45,CARVAJAL,2022-12-09,00:00:00,MASCULINO,2022,1
-74.05149999999998,4.767199999843564,11,SUBA,17,SAN JOSE DE BAVARIA,2022-02-22,00:00:00,MASCULINO,2022,1
-74.17039999999997,4.613469999848573,08,KENNEDY,48,TIMIZA,2023-08-06,00:00:00,FEMENINO,2023,1
-74.13989999999995,4.656209999847162,08,KENNEDY,78,TINTAL NORTE,2022-08-19,00:00:00,FEMENINO,2022,1
-74.07849291499997,4.700352167845727,11,SUBA,25,LA FLORESTA,2021-08-31,00:00:00,MASCULINO,2021,1
-74.09330765299995,4.562970511850207,04,SAN CRISTÓBAL,34,20 DE JULIO,2019-11-21,00:00:00,MASCULINO,2019,1
-74.09199999999998,4.613489999848577,14,LOS MÁRTIRES,102,LA SABANA,2023-08-19,00:00:00,MASCULINO,2023,1
-74.12609999999995,4.719319999845103,10,ENGATIVÁ,73,GARCES NAVAS,2022-02-12,00:00:00,MASCULINO,2022,1
-74.14379999999994,4.675269999846569,09,FONTIBÓN,75,FONTIBON,2023-07-17,00:00:00,MASCULINO,2023,1
-74.11889999999994,4.715039999845246,10,ENGATIVÁ,73,GARCES NAVAS,2022-05-27,00:00:00,MASCULINO,2022,1
-74.17577645499995,4.631479053847988,08,KENNEDY,83,LAS MARGARITAS,2020-01-22,00:00:00,FEMENINO,2020,1
-74.14219999999995,4.548329999850648,19,CIUDAD BOLÍVAR,67,LUCERO,2023-09-12,00:00:00,MASCULINO,2023,1
-74.07829999999996,4.6697499998466965,12,BARRIOS UNIDOS,22,DOCE DE OCTUBRE,2023-02-22,00:00:00,MASCULINO,2023,1
-74.09469999999999,4.679129999846414,10,ENGATIVÁ,26,LAS FERIAS,2023-02-24,00:00:00,MASCULINO,2023,1
-74.20679999999999,4.613239999848592,07,BOSA,85,BOSA CENTRAL,2023-01-14,00:00:00,MASCULINO,2023,1
-74.12542602699995,4.6959811178458475,10,ENGATIVÁ,74,ENGATIVA,2020-10-09,00:00:00,MASCULINO,2020,1
-74.13599999999997,4.659209999847048,09,FONTIBÓN,112,GRANJAS DE TECHO,2022-12-23,00:00:00,MASCULINO,2022,1
