"LONGITUD","LATITUD","codigo_localidad","nombre_localidad","codigo_upz","nombre_upz","FECHA_HECHO","HORA_HECHO","DIA","MES","AÑO","DIA_SEMANA","DIRECCION_HECHO","GENERO","sexual"
"-74.06703999999996","4.654738612847224","12","BARRIOS UNIDOS","98","LOS ALCAZARES","2021-01-15","00:00:00","15","1","2021","Viernes","RAFAEL URIBE","FEMENINO","1"
"-74.20593999999994","4.621619999848308","7","BOSA","84","BOSA OCCIDENTAL","2021-06-01","00:00:00","1","6","2021","Martes","SAN BERNARDINO POTRERITOS","FEMENINO","1"
"-74.10728763599997","4.498047314852332","5","USME","59","ALFONSO LOPEZ","2019-05-02","00:00:00","2","5","2019","Jueves","LA ORQUIDEA DE USME","MASCULINO","1"
"-74.14021531799995","4.595002315849144","6","TUNJUELITO","42","VENECIA","2019-06-06","00:00:00","6","6","2019","Jueves","VENECIA","FEMENINO","1"
"-74.12088799999998","4.478136999852974","5","USME","61","CIUDAD USME","2019-09-27","00:00:00","27","9","2019","Viernes","LA REQUILINA","FEMENINO","1"
"-74.16016843099999","4.548312029850657","19","CIUDAD BOLÍVAR","67","LUCERO","2018-01-24","00:00:00","24","1","2018","Miércoles","EL MIRADOR","FEMENINO","1"
"-74.13460011699993","4.610474652848646","8","KENNEDY","45","CARVAJAL","2019-04-05","00:00:00","5","4","2019","Viernes","PROVIVIENDA","FEMENINO","1"
"-74.09477599999997","4.706863999845525","10","ENGATIVÁ","29","MINUTO DE DIOS","2018-07-14","00:00:00","14","7","2018","Sábado","LOS CEREZOS","FEMENINO","1"
"-74.18623999999994","4.612889999848581","7","BOSA","85","BOSA CENTRAL","2021-05-11","00:00:00","11","5","2021","Martes","ARGELIA II","FEMENINO","1"
"-74.09124599999996","4.515396999851763","5","USME","52","LA FLORA","2019-08-27","00:00:00","27","8","2019","Martes","JUAN REY SUR","FEMENINO","1"
"-74.07202999999998","4.5973899998491135","17","CANDELARIA","94","LA CANDELARIA","2019-07-05","00:00:00","5","7","2019","Viernes","LA CATEDRAL","FEMENINO","1"
"-74.07202999999998","4.5973899998491135","17","CANDELARIA","94","LA CANDELARIA","2021-04-14","00:00:00","14","4","2021","Miércoles","LA CATEDRAL","FEMENINO","1"
